"Type","Level","Offset","Size","Field Type","Field Name","Elt Type","Comment"
"active_script_varst::vtable","1","0x18","0x4","vmethod(1/4)","read_file","",""
"activity_info","0","0x0","0x1c","struct-type","activity_info","",""
"activity_info","1","0x0","0x4","int32_t","id","","assigned during Save"
"activity_info","1","0x4","0x4","pointer","unit_actor","unit","diplomat"
"activity_info","1","0x8","0x4","pointer","unit_noble","unit","meeting recipient"
"activity_info","1","0xc","0x4","pointer","place","building",""
"activity_info","1","0x10","0x2","bitfield","flags","",""
"activity_info","2","0x10","0x0.1","flag-bit","flags.next_step","",""
"activity_info","2","0x10.1","0x0.1","flag-bit","flags.checked_building","",""
"activity_info","2","0x10.2","0x0.1","flag-bit","flags.add_delay","",""
"activity_info","2","0x10.3","0x0.1","flag-bit","flags.topic_discussed","",""
"activity_info","2","0x10.4","0x0.1","flag-bit","flags.meeting_done","",""
"activity_info","1","0x12","0x1","int8_t","state","","3"
"activity_info","1","0x14","0x2","int16_t","delay","","0"
"activity_info","1","0x18","0x4","int32_t","tree_quota","","-1"
"adv_task","0","0x0","0x30","class-type","adv_task","",""
"adv_task","1","0x0","0x4","pointer","_vtable","adv_task::vtable",""
"adv_task","1","0x4","0x4","pointer","link","quest_list_link",""
"adv_task","1","0x8","0x4","int32_t","id","",""
"adv_task","1","0xc","0x4","int32_t","giver_hf","",""
"adv_task","1","0x10","0x4","int32_t","giver_site","",""
"adv_task","1","0x14","0x4","int32_t","giver_entity","",""
"adv_task","1","0x18","0x4","int32_t","recipient_hf","",""
"adv_task","1","0x1c","0x4","int32_t","","","unused"
"adv_task","1","0x20","0x8","coord2d32","target_pos","",""
"adv_task","1","0x28","0x8","coord2d32","giver_pos","",""
"armor_flags","0","0x0","0x4","enum-type","armor_flags","",""
"armor_flags","1","","","enum-item","?","0",""
"armor_flags","1","","","enum-item","METAL_ARMOR_LEVELS","1",""
"armor_general_flags","0","0x0","0x4","enum-type","armor_general_flags","",""
"armor_general_flags","1","","","enum-item","SOFT","0",""
"armor_general_flags","1","","","enum-item","HARD","1",""
"armor_general_flags","1","","","enum-item","METAL","2",""
"armor_general_flags","1","","","enum-item","BARRED","3",""
"armor_general_flags","1","","","enum-item","SCALED","4",""
"armor_general_flags","1","","","enum-item","LEATHER","5",""
"armor_general_flags","1","","","enum-item","SHAPED","6",""
"armor_properties","0","0x0","0x14","struct-type","armor_properties","",""
"armor_properties","1","0x0","0x8","df-flagarray","flags","flag-bit",""
"armor_properties","1","0x8","0x4","int32_t","layer","",""
"armor_properties","1","0xc","0x2","int16_t","layer_size","",""
"armor_properties","1","0xe","0x2","int16_t","layer_permit","",""
"armor_properties","1","0x10","0x2","int16_t","coverage","",""
"art_image","0","0x0","0xac","struct-type","art_image","",""
"art_image","1","0x0","0x10","stl-vector","elements","art_image_element*",""
"art_image","1","0x10","0x10","stl-vector","properties","art_image_property*",""
"art_image","1","0x20","0x4","int32_t","event","",""
"art_image","1","0x24","0x60","language_name","name","",""
"art_image","1","0x84","0x4","specific_ref_type","spec_ref_type","",""
"art_image","1","0x88","0x2","material_type","material","",""
"art_image","1","0x8a","0x2","int16_t","matgloss","",""
"art_image","1","0x8c","0x2","item_quality","quality","",""
"art_image","1","0x90","0x4","int32_t","artist","",""
"art_image","1","0x94","0x4","int32_t","site","",""
"art_image","1","0x98","0x4","pointer","general_ref","general_ref",""
"art_image","1","0x9c","0x4","int32_t","year","",""
"art_image","1","0xa0","0x1","int8_t","season","",""
"art_image","1","0xa2","0x2","int16_t","season_ticks","",""
"art_image","1","0xa4","0x4","int32_t","id","",""
"art_image","1","0xa8","0x2","int16_t","subid","",""
"art_image_chunk","0","0x0","0x7d4","struct-type","art_image_chunk","",""
"art_image_chunk","1","0x0","0x4","int32_t","id","","art_image_*.dat"
"art_image_chunk","1","0x4","0x7d0","static-array","images","art_image*",""
"art_image_element","0","0x0","0x8","class-type","art_image_element","",""
"art_image_element","1","0x0","0x4","pointer","_vtable","art_image_element::vtable",""
"art_image_element","1","0x4","0x4","int32_t","count","",""
"art_image_element::vtable","1","0x0","0x4","vmethod(1/4)","write_file","",""
"art_image_element::vtable","1","0x4","0x4","vmethod(2/8)","read_file","",""
"art_image_element::vtable","1","0x8","0x4","vmethod(0/0)","getType","art_image_element_type",""
"art_image_element::vtable","1","0xc","0x4","vmethod(1/4)","setID","",""
"art_image_element::vtable","1","0x10","0x4","vmethod(0/4)","~art_image_element","",""
"art_image_element::vtable","1","0x14","0x4","vmethod(0/0)","clone","art_image_element*",""
"art_image_element::vtable","1","0x18","0x4","vmethod(2/8)","getSymbol","",""
"art_image_element::vtable","1","0x1c","0x4","vmethod(3/12)","getName","",""
"art_image_element::vtable","1","0x20","0x4","vmethod(0/0)","markDiscovered","",""
"art_image_element::vtable","1","0x24","0x4","vmethod(2/8)","getColorAndShape","",""
"art_image_element_creaturest","0","0x0","0x10","class-type","art_image_element_creaturest","",""
"art_image_element_creaturest","1","0x0","0x8","art_image_element","","",""
"art_image_element_creaturest","1","0x8","0x4","int32_t","race","",""
"art_image_element_creaturest","1","0xc","0x4","int32_t","histfig","",""
"art_image_element_itemst","0","0x0","0x18","class-type","art_image_element_itemst","",""
"art_image_element_itemst","1","0x0","0x8","art_image_element","","",""
"art_image_element_itemst","1","0x8","0x2","item_type","item_type","",""
"art_image_element_itemst","1","0xa","0x2","int16_t","item_subtype","",""
"art_image_element_itemst","1","0xc","0x2","material_type","material","",""
"art_image_element_itemst","1","0xe","0x2","int16_t","matgloss","",""
"art_image_element_itemst","1","0x10","0x4","item_flags","flags","",""
"art_image_element_itemst","1","0x14","0x4","int32_t","item_id","",""
"art_image_element_plantst","0","0x0","0xc","class-type","art_image_element_plantst","",""
"art_image_element_plantst","1","0x0","0x8","art_image_element","","",""
"art_image_element_plantst","1","0x8","0x4","int32_t","plant_id","",""
"art_image_element_shapest","0","0x0","0x10","class-type","art_image_element_shapest","",""
"art_image_element_shapest","1","0x0","0x8","art_image_element","","",""
"art_image_element_shapest","1","0x8","0x4","int32_t","shape_id","",""
"art_image_element_shapest","1","0xc","0x2","int16_t","shape_adj","",""
"art_image_element_treest","0","0x0","0xc","class-type","art_image_element_treest","",""
"art_image_element_treest","1","0x0","0x8","art_image_element","","",""
"art_image_element_treest","1","0x8","0x4","int32_t","wood_id","",""
"art_image_element_type","0","0x0","0x4","enum-type","art_image_element_type","",""
"art_image_element_type","1","","","enum-item","CREATURE","0",""
"art_image_element_type","1","","","enum-item","PLANT","1",""
"art_image_element_type","1","","","enum-item","TREE","2",""
"art_image_element_type","1","","","enum-item","SHAPE","3",""
"art_image_element_type","1","","","enum-item","ITEM","4",""
"art_image_property","0","0x0","0xc","class-type","art_image_property","",""
"art_image_property","1","0x0","0x4","pointer","_vtable","art_image_property::vtable",""
"art_image_property","1","0x4","0x8","df-flagarray","flags","flag-bit",""
"art_image_property::vtable","1","0x0","0x4","vmethod(1/4)","write_file","",""
"art_image_property::vtable","1","0x4","0x4","vmethod(2/8)","read_file","",""
"art_image_property::vtable","1","0x8","0x4","vmethod(0/0)","getType","art_image_property_type",""
"art_image_property::vtable","1","0xc","0x4","vmethod(0/4)","~art_image_property","",""
"art_image_property::vtable","1","0x10","0x4","vmethod(0/0)","clone","art_image_element*",""
"art_image_property::vtable","1","0x14","0x4","vmethod(3/12)","getName","",""
"art_image_property_intransitive_verbst","0","0x0","0x14","class-type","art_image_property_intransitive_verbst","",""
"art_image_property_intransitive_verbst","1","0x0","0xc","art_image_property","","",""
"art_image_property_intransitive_verbst","1","0xc","0x4","int32_t","subject","","refers to art_image_element"
"art_image_property_intransitive_verbst","1","0x10","0x2","art_image_property_verb","verb","",""
"art_image_property_transitive_verbst","0","0x0","0x18","class-type","art_image_property_transitive_verbst","",""
"art_image_property_transitive_verbst","1","0x0","0xc","art_image_property","","",""
"art_image_property_transitive_verbst","1","0xc","0x4","int32_t","subject","","refers to art_image_element"
"art_image_property_transitive_verbst","1","0x10","0x4","int32_t","object","","refers to art_image_element"
"art_image_property_transitive_verbst","1","0x14","0x2","art_image_property_verb","verb","",""
"art_image_property_type","0","0x0","0x4","enum-type","art_image_property_type","",""
"art_image_property_type","1","","","enum-item","transitive_verb","0",""
"art_image_property_type","1","","","enum-item","intransitive_verb","1",""
"art_image_property_verb","0","0x0","0x4","enum-type","art_image_property_verb","",""
"art_image_property_verb","1","","","enum-item","Withering","0",""
"art_image_property_verb","1","","","enum-item","SurroundedBy","1",""
"art_image_property_verb","1","","","enum-item","Massacring","2",""
"art_image_property_verb","1","","","enum-item","Fighting","3",""
"art_image_property_verb","1","","","enum-item","Laboring","4",""
"art_image_property_verb","1","","","enum-item","Greeting","5",""
"art_image_property_verb","1","","","enum-item","Refusing","6",""
"art_image_property_verb","1","","","enum-item","Speaking","7",""
"art_image_property_verb","1","","","enum-item","Embracing","8",""
"art_image_property_verb","1","","","enum-item","StrikingDown","9",""
"art_image_property_verb","1","","","enum-item","MenacingPose","10",""
"art_image_property_verb","1","","","enum-item","Traveling","11",""
"art_image_property_verb","1","","","enum-item","Raising","12",""
"art_image_property_verb","1","","","enum-item","Hiding","13",""
"art_image_property_verb","1","","","enum-item","LookingConfused","14",""
"art_image_property_verb","1","","","enum-item","LookingTerrified","15",""
"art_image_property_verb","1","","","enum-item","Devouring","16",""
"art_image_property_verb","1","","","enum-item","Admiring","17",""
"art_image_property_verb","1","","","enum-item","Burning","18",""
"art_image_property_verb","1","","","enum-item","Weeping","19",""
"art_image_property_verb","1","","","enum-item","LookingDejected","20",""
"art_image_property_verb","1","","","enum-item","Cringing","21",""
"art_image_property_verb","1","","","enum-item","Screaming","22",""
"art_image_property_verb","1","","","enum-item","SubmissiveGesture","23",""
"art_image_property_verb","1","","","enum-item","FetalPosition","24",""
"art_image_property_verb","1","","","enum-item","SmearedIntoSpiral","25",""
"art_image_property_verb","1","","","enum-item","Falling","26",""
"art_image_property_verb","1","","","enum-item","Dead","27",""
"art_image_property_verb","1","","","enum-item","Laughing","28",""
"art_image_property_verb","1","","","enum-item","LookingOffended","29",""
"art_image_property_verb","1","","","enum-item","BeingShot","30",""
"art_image_property_verb","1","","","enum-item","PlaintiveGesture","31",""
"art_image_property_verb","1","","","enum-item","Melting","32",""
"art_image_property_verb","1","","","enum-item","Shooting","33",""
"art_image_ref","0","0x0","0x8","struct-type","art_image_ref","",""
"art_image_ref","1","0x0","0x4","int32_t","id","",""
"art_image_ref","1","0x4","0x2","int16_t","subid","",""
"artifact_flags","0","0x0","0x4","enum-type","artifact_flags","",""
"artifact_flags","1","","","enum-item","Discovered","0",""
"artifact_record","0","0x0","0x74","struct-type","artifact_record","",""
"artifact_record","1","0x0","0x4","int32_t","id","",""
"artifact_record","1","0x4","0x60","language_name","name","",""
"artifact_record","1","0x64","0x2","int16_t","action_timer","","how long before the artifact maker becomes nervous"
"artifact_record","1","0x68","0x8","df-flagarray","flags","flag-bit",""
"artifact_record","1","0x70","0x4","pointer","item","item",""
"assign_trade_status","0","0x0","0x8","struct-type","assign_trade_status","",""
"assign_trade_status","1","0x0","0x4","pointer","item","item",""
"assign_trade_status","1","0x4","0x1","enum","status","",""
"assign_trade_status","2","","","enum-item","RemoveTrading","-2",""
"assign_trade_status","2","","","enum-item","RemovePending","-1",""
"assign_trade_status","2","","","enum-item","None","0",""
"assign_trade_status","2","","","enum-item","AddPending","1",""
"assign_trade_status","2","","","enum-item","Pending","2",""
"assign_trade_status","2","","","enum-item","Trading","3",""
"biome_type","0","0x0","0x4","enum-type","biome_type","",""
"biome_type","1","","","enum-item","MOUNTAIN","0",""
"biome_type","1","","","enum-item","GLACIER","1",""
"biome_type","1","","","enum-item","TUNDRA","2",""
"biome_type","1","","","enum-item","SWAMP_TEMPERATE_FRESHWATER","3",""
"biome_type","1","","","enum-item","SWAMP_TEMPERATE_SALTWATER","4",""
"biome_type","1","","","enum-item","MARSH_TEMPERATE_FRESHWATER","5",""
"biome_type","1","","","enum-item","MARSH_TEMPERATE_SALTWATER","6",""
"biome_type","1","","","enum-item","SWAMP_TROPICAL_FRESHWATER","7",""
"biome_type","1","","","enum-item","SWAMP_TROPICAL_SALTWATER","8",""
"biome_type","1","","","enum-item","SWAMP_MANGROVE","9",""
"biome_type","1","","","enum-item","MARSH_TROPICAL_FRESHWATER","10",""
"biome_type","1","","","enum-item","MARSH_TROPICAL_SALTWATER","11",""
"biome_type","1","","","enum-item","FOREST_TAIGA","12",""
"biome_type","1","","","enum-item","FOREST_TEMPERATE_CONIFER","13",""
"biome_type","1","","","enum-item","FOREST_TEMPERATE_BROADLEAF","14",""
"biome_type","1","","","enum-item","FOREST_TROPICAL_CONIFER","15",""
"biome_type","1","","","enum-item","FOREST_TROPICAL_DRY_BROADLEAF","16",""
"biome_type","1","","","enum-item","FOREST_TROPICAL_MOIST_BROADLEAF","17",""
"biome_type","1","","","enum-item","GRASSLAND_TEMPERATE","18",""
"biome_type","1","","","enum-item","SAVANNA_TEMPERATE","19",""
"biome_type","1","","","enum-item","SHRUBLAND_TEMPERATE","20",""
"biome_type","1","","","enum-item","GRASSLAND_TROPICAL","21",""
"biome_type","1","","","enum-item","SAVANNA_TROPICAL","22",""
"biome_type","1","","","enum-item","SHRUBLAND_TROPICAL","23",""
"biome_type","1","","","enum-item","DESERT_BADLAND","24",""
"biome_type","1","","","enum-item","DESERT_ROCK","25",""
"biome_type","1","","","enum-item","DESERT_SAND","26",""
"biome_type","1","","","enum-item","OCEAN","27",""
"biome_type","1","","","enum-item","INLAND_FRESHWATER","28",""
"biome_type","1","","","enum-item","INLAND_BRACKISHWATER","29",""
"biome_type","1","","","enum-item","INLAND_SALTWATER","30",""
"biome_type","1","","","enum-item","SUBTERRANEAN_RIVER","31",""
"biome_type","1","","","enum-item","SUBTERRANEAN_CHASM","32",""
"biome_type","1","","","enum-item","SUBTERRANEAN_LAVA","33",""
"block_flags","0","0x0","0x4","enum-type","block_flags","",""
"block_flags","1","","","enum-item","designated","0","for jobs etc"
"block_flags","1","","","enum-item","update_temperature","1",""
"body_info","0","0x0","0x20","struct-type","body_info","",""
"body_info","1","0x0","0x10","stl-vector","body_parts","body_part_raw*",""
"body_info","1","0x10","0x10","stl-vector","attacks","creature_attack*",""
"body_part_raw","0","0x0","0x28","struct-type","body_part_raw","",""
"body_part_raw","1","0x0","0x10","stl-string","token","",""
"body_part_raw","1","0x10","0x10","stl-string","name","",""
"body_part_raw","1","0x20","0x2","int16_t","con_part_id","",""
"body_part_raw","1","0x22","0x6","df-static-flagarray","flags","flag-bit",""
"body_part_raw_flags","0","0x0","0x4","enum-type","body_part_raw_flags","",""
"body_part_raw_flags","1","","","enum-item","HEAD","0",""
"body_part_raw_flags","1","","","enum-item","UPPERBODY","1",""
"body_part_raw_flags","1","","","enum-item","LOWERBODY","2",""
"body_part_raw_flags","1","","","enum-item","SIGHT","3",""
"body_part_raw_flags","1","","","enum-item","EMBEDDED","4",""
"body_part_raw_flags","1","","","enum-item","INTERNAL","5",""
"body_part_raw_flags","1","","","enum-item","CIRCULATION","6",""
"body_part_raw_flags","1","","","enum-item","?","7",""
"body_part_raw_flags","1","","","enum-item","LIMB","8",""
"body_part_raw_flags","1","","","enum-item","GRASP","9",""
"body_part_raw_flags","1","","","enum-item","STANCE","10",""
"body_part_raw_flags","1","","","enum-item","GUTS","11",""
"body_part_raw_flags","1","","","enum-item","BREATHE","12",""
"body_part_raw_flags","1","","","enum-item","SMALL","13",""
"body_part_raw_flags","1","","","enum-item","THROAT","14",""
"body_part_raw_flags","1","","","enum-item","JOINT","15",""
"body_part_raw_flags","1","","","enum-item","THOUGHT","16",""
"body_part_raw_flags","1","","","enum-item","NERVOUS","17",""
"body_part_raw_flags","1","","","enum-item","RIGHT","18",""
"body_part_raw_flags","1","","","enum-item","LEFT","19",""
"body_part_raw_flags","1","","","enum-item","HEAR","20",""
"body_part_raw_flags","1","","","enum-item","SMELL","21",""
"body_part_raw_flags","1","","","enum-item","FLIER","22",""
"body_part_raw_flags","1","","","enum-item","DIGIT","23",""
"body_part_raw_flags","1","","","enum-item","MOUTH","24",""
"body_part_raw_flags","1","","","enum-item","APERTURE","25",""
"body_part_template","0","0x0","0x38","struct-type","body_part_template","",""
"body_part_template","1","0x0","0x10","stl-string","id","",""
"body_part_template","1","0x10","0x10","stl-string","name","",""
"body_part_template","1","0x20","0x10","stl-string","con","",""
"body_part_template","1","0x30","0x2","body_part_template_contype","contype","",""
"body_part_template","1","0x32","0x6","df-static-flagarray","flags","flag-bit",""
"body_part_template_contype","0","0x0","0x4","enum-type","body_part_template_contype","",""
"body_part_template_contype","1","","","enum-item","UPPERBODY","0",""
"body_part_template_contype","1","","","enum-item","LOWERBODY","1",""
"body_part_template_contype","1","","","enum-item","HEAD","2",""
"body_part_template_contype","1","","","enum-item","GRASP","3",""
"body_part_template_contype","1","","","enum-item","STANCE","4",""
"body_part_template_flags","0","0x0","0x4","enum-type","body_part_template_flags","",""
"body_part_template_flags","1","","","enum-item","HEAD","0",""
"body_part_template_flags","1","","","enum-item","UPPERBODY","1",""
"body_part_template_flags","1","","","enum-item","LOWERBODY","2",""
"body_part_template_flags","1","","","enum-item","SIGHT","3",""
"body_part_template_flags","1","","","enum-item","EMBEDDED","4",""
"body_part_template_flags","1","","","enum-item","INTERNAL","5",""
"body_part_template_flags","1","","","enum-item","CIRCULATION","6",""
"body_part_template_flags","1","","","enum-item","?","7",""
"body_part_template_flags","1","","","enum-item","LIMB","8",""
"body_part_template_flags","1","","","enum-item","GRASP","9",""
"body_part_template_flags","1","","","enum-item","STANCE","10",""
"body_part_template_flags","1","","","enum-item","GUTS","11",""
"body_part_template_flags","1","","","enum-item","BREATHE","12",""
"body_part_template_flags","1","","","enum-item","SMALL","13",""
"body_part_template_flags","1","","","enum-item","THROAT","14",""
"body_part_template_flags","1","","","enum-item","JOINT","15",""
"body_part_template_flags","1","","","enum-item","THOUGHT","16",""
"body_part_template_flags","1","","","enum-item","NERVOUS","17",""
"body_part_template_flags","1","","","enum-item","RIGHT","18",""
"body_part_template_flags","1","","","enum-item","LEFT","19",""
"body_part_template_flags","1","","","enum-item","HEAR","20",""
"body_part_template_flags","1","","","enum-item","SMELL","21",""
"body_part_template_flags","1","","","enum-item","FLIER","22",""
"body_part_template_flags","1","","","enum-item","DIGIT","23",""
"body_part_template_flags","1","","","enum-item","MOUTH","24",""
"body_part_template_flags","1","","","enum-item","APERTURE","25",""
"body_template","0","0x0","0x20","struct-type","body_template","",""
"body_template","1","0x0","0x10","stl-string","id","",""
"body_template","1","0x10","0x10","stl-vector","parts","body_part_template*",""
"building","0","0x0","0xb0","class-type","building","",""
"building","1","0x0","0x4","pointer","_vtable","building::vtable",""
"building","1","0x4","0x4","int32_t","x1","","top left"
"building","1","0x8","0x4","int32_t","y1","",""
"building","1","0xc","0x4","int32_t","centerx","","work location"
"building","1","0x10","0x4","int32_t","x2","","bottom right"
"building","1","0x14","0x4","int32_t","y2","",""
"building","1","0x18","0x4","int32_t","centery","",""
"building","1","0x1c","0x4","int32_t","z","",""
"building","1","0x20","0x4","building_flags","flags","",""
"building","1","0x24","0x2","material_type","material","",""
"building","1","0x26","0x2","int16_t","matgloss","",""
"building","1","0x28","0x14","building_extents","room","",""
"building","1","0x3c","0x4","int32_t","age","",""
"building","1","0x40","0x2","int16_t","race","",""
"building","1","0x44","0x4","int32_t","id","",""
"building","1","0x48","0x10","stl-vector","jobs","job*",""
"building","1","0x58","0x10","stl-vector","specific_refs","specific_ref*",""
"building","1","0x68","0x10","stl-vector","general_refs","general_ref*",""
"building","1","0x78","0x1","bool","is_room","",""
"building","1","0x7c","0x10","stl-vector","children","building*","other buildings within this room"
"building","1","0x8c","0x10","stl-vector","parents","building*","rooms this building belongs to"
"building","1","0x9c","0x4","pointer","owner","unit",""
"building","1","0xa0","0x10","stl-vector","job_claim_suppress","building::anon2*","after RemvCre, prevents unit from taking jobs at building"
"building::anon2","0","0x0","0x8","compound","","",""
"building::anon2","1","0x0","0x4","pointer","unit","unit",""
"building::anon2","1","0x4","0x4","int32_t","timer","",""
"building::vtable","1","0x0","0x4","vmethod(2/8)","setJobTimer","",""
"building::vtable","1","0x4","0x4","vmethod(0/0)","isOnFire","bool",""
"building::vtable","1","0x8","0x4","vmethod(0/0)","updateFromWeather","",""
"building::vtable","1","0xc","0x4","vmethod(0/0)","updateTemperature","",""
"building::vtable","1","0x10","0x4","vmethod(0/0)","updateItems","",""
"building::vtable","1","0x14","0x4","vmethod(2/8)","updateTempFromTile","",""
"building::vtable","1","0x18","0x4","vmethod(0/0)","isColoredByMaterial","bool",""
"building::vtable","1","0x1c","0x4","vmethod(0/0)","isFarmPlot","bool",""
"building::vtable","1","0x20","0x4","vmethod(0/0)","getWorkshopProfile","workshop_profile*",""
"building::vtable","1","0x24","0x4","vmethod(0/0)","getType","building_type",""
"building::vtable","1","0x28","0x4","vmethod(0/0)","getSubtype","int16_t",""
"building::vtable","1","0x2c","0x4","vmethod(1/4)","setSubtype","",""
"building::vtable","1","0x30","0x4","vmethod(0/0)","isActual","bool",""
"building::vtable","1","0x34","0x4","vmethod(0/0)","getStorageType","int32_t",""
"building::vtable","1","0x38","0x4","vmethod(0/0)","isCoffin2","bool",""
"building::vtable","1","0x3c","0x4","vmethod(0/0)","updateAction","",""
"building::vtable","1","0x40","0x4","vmethod(0/0)","isStatueOrRestraint","bool",""
"building::vtable","1","0x44","0x4","vmethod(1/4)","setMaterialAmount","",""
"building::vtable","1","0x48","0x4","vmethod(1/4)","setBuildStage","",""
"building::vtable","1","0x4c","0x4","vmethod(0/0)","getBuildStage","int32_t",""
"building::vtable","1","0x50","0x4","vmethod(0/0)","getMaxBuildStage","int32_t",""
"building::vtable","1","0x54","0x4","vmethod(0/0)","getArchitectureValue","int32_t",""
"building::vtable","1","0x58","0x4","vmethod(0/0)","isSettingOccupancy","bool",""
"building::vtable","1","0x5c","0x4","vmethod(0/0)","isExtentShaped","bool",""
"building::vtable","1","0x60","0x4","vmethod(2/8)","updateOccupancy","",""
"building::vtable","1","0x64","0x4","vmethod(1/4)","getRoomValue","int32_t",""
"building::vtable","1","0x68","0x4","vmethod(1/4)","getPersonalValue","int32_t",""
"building::vtable","1","0x6c","0x4","vmethod(0/0)","canBeRoom","bool",""
"building::vtable","1","0x70","0x4","vmethod(0/0)","getConstructionValue","int32_t",""
"building::vtable","1","0x74","0x4","vmethod(0/0)","queueDestroy","",""
"building::vtable","1","0x78","0x4","vmethod(2/8)","isImpassableTile","bool",""
"building::vtable","1","0x7c","0x4","vmethod(2/8)","getFreeCapacity","int32_t",""
"building::vtable","1","0x80","0x4","vmethod(3/12)","canStoreItem","bool",""
"building::vtable","1","0x84","0x4","vmethod(1/4)","getName","",""
"building::vtable","1","0x88","0x4","vmethod(0/0)","getNameColor","",""
"building::vtable","1","0x8c","0x4","vmethod(1/4)","initSettingsEnable","",""
"building::vtable","1","0x90","0x4","vmethod(1/4)","initSettingsDisable","",""
"building::vtable","1","0x94","0x4","vmethod(0/0)","initBurialFlags","",""
"building::vtable","1","0x98","0x4","vmethod(0/0)","clearBurialFlags","",""
"building::vtable","1","0x9c","0x4","vmethod(0/0)","clearBurialFlags2","",""
"building::vtable","1","0xa0","0x4","vmethod(0/0)","getClutterLevel","int32_t",""
"building::vtable","1","0xa4","0x4","vmethod(0/0)","needsDesign","bool",""
"building::vtable","1","0xa8","0x4","vmethod(1/4)","canUseForMood","bool",""
"building::vtable","1","0xac","0x4","vmethod(0/0)","canBeRoomSubset","bool",""
"building::vtable","1","0xb0","0x4","vmethod(0/0)","isCoffin","bool",""
"building::vtable","1","0xb4","0x4","vmethod(0/0)","canUseSpouseRoom","bool",""
"building::vtable","1","0xb8","0x4","vmethod(0/0)","canMakeRoom","bool",""
"building::vtable","1","0xbc","0x4","vmethod(0/0)","setContainedItems","",""
"building::vtable","1","0xc0","0x4","vmethod(0/0)","isJustice","bool",""
"building::vtable","1","0xc4","0x4","vmethod(1/4)","detachUnit","",""
"building::vtable","1","0xc8","0x4","vmethod(1/4)","write_file","",""
"building::vtable","1","0xcc","0x4","vmethod(2/8)","read_file","",""
"building::vtable","1","0xd0","0x4","vmethod(0/0)","isBuiltFromSide","bool",""
"building::vtable","1","0xd4","0x4","vmethod(1/4)","categorize","",""
"building::vtable","1","0xd8","0x4","vmethod(0/0)","uncategorize","",""
"building::vtable","1","0xdc","0x4","vmethod(0/0)","getBaseValue","int32_t",""
"building::vtable","1","0xe0","0x4","vmethod(1/4)","setMachineState","",""
"building::vtable","1","0xe4","0x4","vmethod(0/0)","AdventurerInteract","",""
"building::vtable","1","0xe8","0x4","vmethod(0/0)","needsMagma","bool",""
"building::vtable","1","0xec","0x4","vmethod(2/8)","removeUses","",""
"building::vtable","1","0xf0","0x4","vmethod(2/8)","deconstructItems","",""
"building::vtable","1","0xf4","0x4","vmethod(0/0)","updatePathfinding","",""
"building::vtable","1","0xf8","0x4","vmethod(1/4)","takesFireDamage","bool",""
"building::vtable","1","0xfc","0x4","vmethod(0/0)","populateSettingsMenu","",""
"building::vtable","1","0x100","0x4","vmethod(0/0)","populateTaskList","",""
"building::vtable","1","0x104","0x4","vmethod(0/0)","isForbidden","bool",""
